Order_ID,Date_Time,Time_of_Order,Demand_Level,Traffic_Congestion,Urgency_Level,Driver_Availability,Distance_km,Base_Price,MRP_Price,Competitor_Price,Weather_Impact,Special_Event,Customer_Loyalty,Stock_Availability,Final_Price,Handling_Charges,Delivery_Charges,Expiry_Days
ORD21,1/1/2024 20:14,20:14,Low,Light,Standard,Medium,26.93,95.84,129.19,113.05,Rainy,None,0,In-stock,166.13,2.51,32.35,74
ORD22,1/3/2024 10:31,10:31,Low,Light,Same-day,Low,38.04,156.08,221.13,202.95,Snowy,Sports Event,5,Low Stock,252.45,6.74,30.13,233
ORD23,5/14/2024 0:48,0:48,Medium,Light,Standard,High,22.5,208.81,252.66,230.93,Snowy,Holiday,2,Low Stock,318.44,9.46,44.62,169
ORD24,9/10/2024 1:33,1:33,Medium,Moderate,Standard,Medium,8.59,39.81,57.19,55.34,Snowy,Holiday,0,Low Stock,64.84,1.07,7.58,294
ORD25,8/24/2024 20:03,20:03,Low,Heavy,Express,Medium,27.12,405.22,471.09,486.68,Stormy,Holiday,5,Low Stock,519.37,8.67,25.68,233
ORD26,1/20/2024 2:53,2:53,Medium,Moderate,Same-day,High,20.95,438.63,611.19,565.07,Stormy,None,3,Out of Stock,683.44,20.64,21.54,285
ORD27,5/17/2024 19:05,19:05,Low,Heavy,Express,Low,48.59,334.67,422.23,387.53,Rainy,None,5,Out of Stock,491.59,6.84,24.5,30
ORD28,2/4/2024 18:02,18:02,Medium,Moderate,Standard,Medium,42.38,182.49,239.59,197.29,Stormy,None,5,In-stock,248.56,7,35.54,296
ORD29,6/9/2024 8:38,8:38,Low,Light,Same-day,Medium,12.7,396.92,589.71,516.76,Stormy,Holiday,5,Out of Stock,612.69,12.01,13.05,128
ORD30,1/29/2024 12:05,12:05,High,Light,Same-day,Low,41.08,63.3,69.85,75.68,Clear,Holiday,5,Out of Stock,140.29,1.92,34.77,69
ORD31,9/6/2024 20:20,20:20,High,Heavy,Express,High,28.44,41.37,50.18,50.49,Rainy,Sports Event,0,Low Stock,91.95,1.91,19.75,102
ORD32,2/4/2024 23:32,23:32,High,Moderate,Express,High,44.27,135.15,175.55,199.57,Snowy,Holiday,3,Low Stock,239.36,3.5,40.06,255
ORD33,6/24/2024 2:57,2:57,Medium,Moderate,Same-day,Medium,26.63,84.34,96.97,112.89,Stormy,Holiday,3,Low Stock,145.72,2.37,15.2,203
ORD34,5/12/2024 15:18,15:18,Low,Heavy,Same-day,Low,17.51,240.83,282,291.55,Snowy,Sports Event,4,Low Stock,324.52,9,14.45,364
ORD35,10/10/2024 22:17,22:17,Low,Light,Standard,Low,39.79,107.34,143.86,120.8,Rainy,None,1,Low Stock,195.58,3.5,55.27,91
ORD36,7/16/2024 5:21,5:21,High,Light,Express,High,48.71,396.16,557.3,448.4,Stormy,Holiday,1,Out of Stock,793.66,11.23,60.24,325
ORD37,7/14/2024 4:27,4:27,High,Moderate,Standard,Low,12.3,187.14,248.17,218.89,Rainy,Sports Event,1,Out of Stock,344.42,5.88,19.52,313
ORD38,2/10/2024 9:07,9:07,Medium,Light,Standard,Medium,26.98,271.98,324.31,278.97,Stormy,Holiday,1,Low Stock,374.49,8.4,34.31,68
ORD39,4/5/2024 6:29,6:29,Medium,Moderate,Express,Low,28.5,490.22,731.18,772.07,Stormy,Sports Event,1,In-stock,791.19,19.55,17.48,124
ORD40,10/9/2024 21:29,21:29,High,Heavy,Express,Low,2.11,105.49,156.7,183.64,Snowy,Holiday,3,In-stock,164.64,3.5,3.93,106
ORD41,4/15/2024 2:21,2:21,High,Light,Same-day,High,43.72,98.24,108.31,123.93,Stormy,None,3,Out of Stock,208.09,4.01,27.68,199
ORD42,1/11/2024 5:53,5:53,High,Moderate,Same-day,High,19.04,41.99,59.04,61.86,Clear,None,4,Low Stock,92.81,1.99,31.44,356
ORD43,4/29/2024 13:04,13:04,Low,Heavy,Express,High,43.45,31.7,47.33,54.32,Stormy,None,1,In-stock,125.41,0.88,79.74,257
ORD44,9/30/2024 3:22,3:22,Low,Light,Same-day,High,25.45,489.99,649.25,679.67,Rainy,Sports Event,2,In-stock,746.16,17.5,19.6,168
ORD45,5/5/2024 3:37,3:37,High,Heavy,Express,High,6.94,365.59,441.55,427.38,Rainy,Holiday,2,In-stock,576.05,13.53,10.79,193
ORD46,3/14/2024 12:47,12:47,High,Light,Express,Medium,17.88,196.1,286.06,241.21,Clear,None,2,Low Stock,309.76,5.04,14.33,313
ORD47,12/4/2024 0:26,0:26,High,Light,Express,High,36.54,294.31,420.57,387.71,Clear,None,1,Out of Stock,538.68,6.66,65.34,280
ORD48,8/11/2024 9:01,9:01,Medium,Heavy,Standard,Medium,28.17,326.49,359.53,318.85,Rainy,Holiday,3,Out of Stock,521.42,15.52,22.7,177
ORD49,2/1/2024 20:14,20:14,High,Light,Same-day,High,35.74,273.12,364.83,437.4,Clear,Sports Event,5,In-stock,518.32,12.85,53.68,177
ORD50,4/30/2024 6:55,6:55,High,Moderate,Same-day,High,49.9,94.51,120.61,101.17,Snowy,Sports Event,5,Out of Stock,259.35,4.52,71.66,259
ORD51,4/28/2024 22:45,22:45,High,Heavy,Same-day,Medium,48.18,450.03,615.01,513.1,Rainy,Holiday,0,Out of Stock,958.11,13.09,41.25,349
ORD52,12/11/2024 7:48,7:48,High,Light,Standard,High,12.82,483.18,702.66,674.48,Clear,Sports Event,1,Out of Stock,930.43,11.54,17.51,49
ORD53,5/20/2024 14:42,14:42,Medium,Light,Same-day,Medium,38.89,346.8,385.95,436.65,Snowy,Sports Event,3,In-stock,520.62,14.92,45.94,170
ORD54,7/12/2024 18:45,18:45,Low,Heavy,Express,High,36.68,192.93,266.63,232.67,Snowy,Sports Event,2,Out of Stock,282.78,5.4,28.54,144
ORD55,12/19/2024 23:40,23:40,High,Moderate,Same-day,Low,39.43,147.77,208.26,233.99,Rainy,Sports Event,2,Out of Stock,311.92,4.5,65.08,195
ORD56,2/26/2024 16:28,16:28,High,Light,Standard,High,19.39,346.28,391.1,430.99,Rainy,None,3,Out of Stock,519.87,16.62,28.85,89
ORD57,3/23/2024 20:41,20:41,Low,Moderate,Same-day,Medium,36.08,118.36,145.33,116.8,Stormy,Sports Event,0,Out of Stock,240.06,3.86,51.11,117
ORD58,1/25/2024 16:06,16:06,Medium,Heavy,Same-day,Medium,38.06,349.85,397.95,359.96,Stormy,Holiday,1,In-stock,536.26,16.22,60.37,325
ORD59,2/20/2024 1:01,1:01,Low,Light,Express,Medium,33.3,161.3,200.7,187.59,Snowy,Sports Event,5,Out of Stock,297.74,5.48,51.11,103
ORD60,5/28/2024 5:32,5:32,Medium,Light,Express,High,39.67,399.38,514.02,605.21,Snowy,Holiday,3,Low Stock,554.25,17.11,75.17,294
ORD61,7/19/2024 5:52,5:52,Medium,Light,Same-day,Medium,20.68,15.2,18.51,16.59,Rainy,None,1,Out of Stock,32.78,0.34,12.68,41
ORD62,10/6/2024 22:53,22:53,High,Light,Standard,High,43.57,11.68,16.27,17.54,Rainy,None,1,In-stock,97.97,0.54,82,30
ORD63,10/9/2024 16:43,16:43,High,Moderate,Same-day,High,42.91,309.39,361.25,364.22,Stormy,Holiday,5,Low Stock,594.14,11.64,41.67,289
ORD64,10/6/2024 10:08,10:08,Medium,Heavy,Standard,Low,30.34,289.62,385.37,320.9,Stormy,Holiday,1,Out of Stock,451.83,9.64,31.64,229
ORD65,9/15/2024 21:17,21:17,High,Heavy,Standard,High,36.72,136.77,202.61,184.02,Clear,Sports Event,2,Low Stock,285.34,3.28,45.16,355
ORD66,4/28/2024 19:56,19:56,Low,Light,Express,Medium,12.11,48.2,53.14,63.51,Clear,None,2,In-stock,72.72,1.54,14.4,167
ORD67,2/20/2024 11:57,11:57,Medium,Moderate,Standard,Medium,31.64,459.05,626.86,661.35,Rainy,None,4,Low Stock,647.97,10.46,36.63,133
ORD68,5/4/2024 3:50,3:50,Medium,Moderate,Standard,Low,10.46,456.31,548.7,486.26,Rainy,Holiday,5,Low Stock,649.13,9.47,5.6,74
ORD69,12/11/2024 18:20,18:20,High,Light,Same-day,Low,24.85,316.78,356.95,383.06,Stormy,Holiday,2,Out of Stock,519.18,6.69,49.16,161
ORD70,3/27/2024 20:07,20:07,Low,Heavy,Express,Medium,2.18,165.58,193.76,164.53,Stormy,None,5,Low Stock,216.33,3.92,1.34,156
ORD71,6/6/2024 5:14,5:14,High,Heavy,Standard,Medium,44.65,355.62,485.34,574.41,Stormy,Holiday,0,Out of Stock,658.91,11.82,46.42,4
ORD72,3/22/2024 23:02,23:02,Low,Moderate,Standard,Low,6.05,199.8,225.29,265.92,Clear,None,1,In-stock,277.17,6.13,3.6,206
ORD73,10/8/2024 0:23,0:23,High,Light,Express,High,29.05,251.73,326,289.8,Snowy,Holiday,3,In-stock,473.3,5.91,50.76,59
ORD74,7/14/2024 17:53,17:53,High,Heavy,Standard,Medium,6.2,382.25,545.36,642.35,Snowy,Sports Event,3,In-stock,748.8,16.33,11.04,25
ORD75,2/24/2024 4:16,4:16,Medium,Light,Express,Medium,9.65,212.47,303.37,279.42,Rainy,Sports Event,0,Low Stock,268.26,7.03,7.04,84
ORD76,7/29/2024 2:09,2:09,Medium,Light,Express,Low,35.87,201.28,253.59,241.45,Stormy,None,1,In-stock,280.05,4.46,35.07,195
ORD77,7/8/2024 9:26,9:26,Low,Light,Same-day,Low,16.29,312,345.61,282.78,Stormy,None,4,Out of Stock,490.37,14.52,14.15,178
ORD78,12/2/2024 16:33,16:33,High,Light,Express,High,11.07,321.23,400.44,323.95,Stormy,None,1,Out of Stock,461.96,14.18,7.09,58
ORD79,8/28/2024 7:49,7:49,High,Light,Standard,Low,48.8,73.02,90.45,105.35,Snowy,Holiday,0,In-stock,196.45,1.79,65.2,277
ORD80,6/18/2024 16:11,16:11,Medium,Moderate,Standard,Low,29.11,79.21,95.52,103.07,Snowy,Sports Event,0,In-stock,177.45,2.3,56.31,225
ORD81,11/30/2024 15:36,15:36,Low,Moderate,Same-day,High,41.15,444.26,580.22,488.2,Snowy,Sports Event,0,In-stock,665.4,20.05,28.12,23
ORD82,8/20/2024 16:59,16:59,Low,Heavy,Express,High,3.71,351.91,519.4,561.99,Snowy,Holiday,3,Out of Stock,450.86,8.11,2.15,101
ORD83,10/18/2024 21:13,21:13,High,Light,Standard,Medium,4.92,133.67,163.49,137.65,Rainy,Sports Event,1,Out of Stock,243.51,4.23,8.15,288
ORD84,3/30/2024 3:38,3:38,Low,Moderate,Same-day,Low,48.99,386.9,538.66,514.76,Clear,Sports Event,3,Out of Stock,659.59,15.58,42.29,184
ORD85,8/22/2024 22:51,22:51,High,Heavy,Standard,Low,23.16,439.61,581.01,499.43,Stormy,Holiday,3,Out of Stock,673.73,14.02,31.49,126
ORD86,7/2/2024 9:21,9:21,High,Heavy,Standard,Low,4.99,182.9,204.51,239.96,Rainy,Sports Event,2,In-stock,360.11,6.63,9.71,22
ORD87,5/31/2024 3:53,3:53,Low,Light,Express,Low,29.55,183.6,266.31,317.8,Clear,Sports Event,4,In-stock,289.37,6.02,56.9,28
ORD88,11/9/2024 9:15,9:15,High,Moderate,Standard,Low,18.2,360.35,495.3,579.75,Clear,Sports Event,0,Low Stock,538.82,15.73,25.93,361
ORD89,2/4/2024 18:09,18:09,High,Moderate,Same-day,Medium,21.99,274.54,359.42,412.59,Rainy,None,2,Out of Stock,481.61,9.34,32.1,283
ORD90,5/22/2024 16:27,16:27,Medium,Heavy,Standard,High,1.53,465.15,560.5,465.19,Clear,Sports Event,4,Out of Stock,786.76,20.29,2.62,178
ORD91,1/17/2024 7:14,7:14,Low,Light,Express,High,15.27,135.28,177.57,207.51,Rainy,Holiday,4,Out of Stock,217.41,4.82,25.73,7
ORD92,11/13/2024 6:22,6:22,High,Heavy,Express,High,46.42,389.81,439.11,488.16,Snowy,Holiday,0,Out of Stock,662.04,12.67,30.98,20
ORD93,7/21/2024 16:58,16:58,Low,Heavy,Same-day,High,46.68,82.31,114.82,111.46,Rainy,Sports Event,4,Out of Stock,210.7,2.01,66.51,131
ORD94,7/8/2024 10:01,10:01,Low,Heavy,Standard,Medium,21.84,328.67,435.65,500.64,Clear,Sports Event,4,Low Stock,505.2,7.13,43.54,301
ORD95,1/4/2024 19:33,19:33,Low,Heavy,Standard,Low,46.67,116.01,166.34,162.05,Clear,Holiday,4,Out of Stock,218.54,4.65,66.46,134
ORD96,8/8/2024 13:34,13:34,Low,Light,Standard,Low,13.43,416.11,599,602.14,Rainy,Sports Event,0,Low Stock,476.3,10.12,14.08,273
ORD97,4/8/2024 9:48,9:48,Medium,Light,Same-day,High,48.92,404.49,587.79,527.8,Clear,Holiday,2,Low Stock,512.43,18.56,28.16,238
ORD98,8/16/2024 13:55,13:55,Medium,Moderate,Same-day,Low,29.84,46.75,63.97,67.84,Rainy,Holiday,0,Low Stock,101.67,1.38,41.32,60
ORD99,12/6/2024 0:13,0:13,High,Heavy,Same-day,High,30.36,104.46,127.48,129.99,Rainy,None,1,Out of Stock,214.66,4.66,42.66,126
ORD100,4/20/2024 0:53,0:53,High,Light,Standard,Low,22.36,444.2,550.64,627.78,Snowy,Sports Event,0,Low Stock,778.3,10.33,29.62,14
ORD101,2/3/2024 23:27,23:27,Medium,Moderate,Same-day,High,26.35,466.16,623.77,689.71,Stormy,Holiday,0,Out of Stock,707.98,15.85,15.47,189
ORD102,5/5/2024 19:54,19:54,Low,Moderate,Same-day,Low,40.13,72.47,88.69,104.25,Rainy,None,1,Low Stock,130.51,2.13,46.79,117
ORD103,5/19/2024 5:55,5:55,High,Moderate,Standard,Low,4.48,304.7,401.63,430.92,Stormy,Holiday,4,In-stock,508.49,10.91,8.23,55
ORD104,6/30/2024 12:27,12:27,Low,Moderate,Standard,High,45.84,323.89,475.98,428.58,Clear,None,5,In-stock,542.34,12.29,53.1,44
ORD105,4/19/2024 8:24,8:24,Low,Light,Same-day,Low,31.16,465.22,519.94,423.26,Stormy,Holiday,3,Low Stock,675.03,15.66,20.19,357
ORD106,4/21/2024 10:13,10:13,Medium,Moderate,Express,Low,47.87,489.3,547.4,445.04,Stormy,Sports Event,2,In-stock,727.11,18.59,89.72,361
ORD107,8/15/2024 15:37,15:37,Low,Light,Standard,Medium,34.96,215.23,254.21,255.17,Clear,None,1,Out of Stock,363.15,8.26,45.2,104
ORD108,4/18/2024 23:12,23:12,Low,Heavy,Same-day,Low,40.13,383.48,453.36,530.63,Clear,None,4,In-stock,504.14,11.96,40.51,37
ORD109,2/12/2024 8:37,8:37,High,Moderate,Standard,High,3.41,43.43,64.17,61.37,Rainy,Holiday,0,Low Stock,70.04,1.55,6.53,234
ORD110,7/28/2024 0:30,0:30,High,Moderate,Same-day,Low,46.11,124.77,163.46,187.72,Snowy,Sports Event,5,In-stock,294.44,3.52,75.27,106
ORD111,3/5/2024 5:58,5:58,Medium,Heavy,Express,Medium,28.36,152.87,190.19,206.27,Clear,None,5,Out of Stock,256.65,6.6,22.08,268
ORD112,9/29/2024 4:44,4:44,High,Moderate,Same-day,Medium,32.6,496.83,557.77,616.91,Clear,Sports Event,2,Out of Stock,853.7,16.07,65,122
ORD113,1/28/2024 12:59,12:59,Medium,Moderate,Same-day,Medium,32.7,441.47,601.68,580.31,Snowy,Sports Event,5,In-stock,769.29,19.54,26.75,20
ORD114,3/4/2024 12:54,12:54,Low,Moderate,Express,Medium,28.07,493.3,625.83,692.12,Rainy,None,4,Out of Stock,742.03,15.14,39.55,13
ORD115,4/15/2024 16:02,16:02,Medium,Heavy,Same-day,Low,22.08,314.52,346.09,330.36,Rainy,Holiday,4,Out of Stock,542.06,8.49,22.07,335
ORD116,11/13/2024 22:11,22:11,Low,Moderate,Same-day,Medium,44.9,155.31,195.5,167.23,Clear,None,1,Out of Stock,291.88,7.26,56.9,236
ORD117,7/13/2024 3:52,3:52,High,Heavy,Same-day,Medium,34.65,385.41,492.25,449.32,Rainy,Holiday,2,Out of Stock,771.58,14.79,59.78,37
ORD118,10/23/2024 15:00,15:00,Medium,Moderate,Standard,High,4.86,388.96,581.52,558.38,Rainy,Holiday,3,Low Stock,556.37,14.96,9.31,340
ORD119,7/31/2024 1:19,1:19,Low,Moderate,Express,Low,12.93,336.22,402.71,409.4,Clear,Sports Event,2,In-stock,443.44,14.88,14.1,24
ORD120,8/11/2024 1:24,1:24,Low,Moderate,Standard,Low,11.88,353.68,452.55,431.63,Snowy,Holiday,0,Low Stock,486.88,16.33,6.79,139
ORD121,1/25/2024 9:37,9:37,High,Heavy,Express,High,47.6,473.24,571.42,592.42,Stormy,Holiday,3,Out of Stock,826.37,21.49,39.76,336
ORD122,1/19/2024 21:40,21:40,Low,Light,Express,Medium,16.36,23.54,26.11,21.68,Clear,Holiday,4,In-stock,43.32,0.56,13.91,307
ORD123,11/19/2024 17:47,17:47,Medium,Heavy,Express,Medium,15.89,400.58,481.61,511.57,Rainy,Sports Event,5,Out of Stock,620.96,15.62,27.31,69
ORD124,5/26/2024 2:04,2:04,High,Light,Same-day,Medium,37.59,322.72,421.4,416.64,Clear,Sports Event,4,Out of Stock,667.02,15.36,19.17,56
ORD125,7/20/2024 1:52,1:52,Low,Heavy,Standard,Medium,8.98,56.37,64.01,70.59,Snowy,Holiday,2,Out of Stock,102.69,1.75,10.11,33
ORD126,10/24/2024 2:11,2:11,High,Light,Standard,Medium,47.18,419.83,561.34,587.2,Rainy,Holiday,0,Low Stock,767.9,15.92,39.33,136
ORD127,1/25/2024 14:56,14:56,Low,Heavy,Standard,Medium,4.28,205.19,297.34,292.56,Stormy,Holiday,3,Out of Stock,331.81,5.05,8.43,72
ORD128,12/26/2024 21:19,21:19,High,Light,Same-day,Low,2.4,385.93,504.55,596.6,Rainy,Sports Event,1,Low Stock,563.95,8.34,4.26,208
ORD129,10/2/2024 15:38,15:38,High,Heavy,Express,High,44.43,457.65,604.5,553.69,Snowy,Sports Event,2,Low Stock,727.09,20.58,66.76,162
ORD130,8/14/2024 18:45,18:45,Low,Light,Express,Medium,28.15,65.68,97.84,114,Rainy,Holiday,2,In-stock,143.26,3.16,46.18,51
ORD131,10/4/2024 7:01,7:01,Low,Moderate,Standard,Medium,33.25,57.93,70.94,82.02,Stormy,None,0,Low Stock,106.64,2.53,42.52,339
ORD132,7/21/2024 16:03,16:03,Medium,Moderate,Express,High,25,453.3,558.66,594.78,Rainy,None,4,Out of Stock,692.55,19.73,39.46,315
ORD133,4/20/2024 3:12,3:12,Low,Light,Express,Low,43.5,110.64,163.93,131.17,Stormy,None,1,Out of Stock,218.82,4.36,67.61,338
ORD134,4/20/2024 5:16,5:16,Medium,Moderate,Express,Medium,24.57,462.95,615.86,710.9,Stormy,Sports Event,2,Out of Stock,686.22,11.3,34.78,251
ORD135,7/29/2024 8:34,8:34,Medium,Moderate,Standard,High,35.46,353.14,425.17,458.25,Snowy,Holiday,0,Out of Stock,596.76,13.9,55.07,62
ORD136,2/20/2024 0:45,0:45,Medium,Moderate,Standard,Medium,39.85,461.41,678.05,567.94,Clear,Sports Event,5,Low Stock,572.09,9.62,38.98,280
ORD137,7/30/2024 12:11,12:11,Medium,Heavy,Express,Medium,16.84,139.67,158.62,185.27,Stormy,Sports Event,5,In-stock,215.06,5.98,20.91,311
ORD138,3/31/2024 23:09,23:09,Low,Heavy,Standard,Medium,3.43,190.87,223.18,212.93,Rainy,None,5,Out of Stock,240.06,8.39,3.91,333
ORD139,10/3/2024 2:08,2:08,Medium,Moderate,Same-day,Medium,37.14,141.93,199.29,234.22,Stormy,Holiday,0,In-stock,288.12,4.69,44.7,364
ORD140,7/21/2024 10:01,10:01,Low,Heavy,Standard,Medium,25.85,233.34,308.28,367.66,Snowy,Holiday,0,Out of Stock,332.24,10.12,30.5,73
ORD141,3/7/2024 2:52,2:52,High,Heavy,Standard,Low,11.07,148.83,200.88,236.32,Stormy,Holiday,4,Out of Stock,229.84,6,11.49,64
ORD142,6/14/2024 5:23,5:23,Medium,Moderate,Express,High,10.4,245.18,365.37,325.31,Rainy,Sports Event,2,In-stock,358.91,8.4,11.25,52
ORD143,6/11/2024 0:03,0:03,Medium,Moderate,Standard,High,28.24,436.94,619.81,618.67,Snowy,Holiday,1,Low Stock,580.93,17.6,37.34,313
ORD144,6/21/2024 6:59,6:59,Low,Moderate,Standard,High,3.96,274.38,336.75,332.62,Rainy,Sports Event,3,Low Stock,368.77,6.53,4.11,212
ORD145,7/6/2024 12:54,12:54,Low,Heavy,Express,Low,32.97,90.51,112.08,109.27,Clear,None,5,Out of Stock,134.01,2.57,21.18,139
ORD146,10/20/2024 18:03,18:03,Medium,Heavy,Express,High,29.31,422.68,629.4,513.3,Snowy,Holiday,1,In-stock,628.84,10.61,34.9,248
ORD147,5/16/2024 8:24,8:24,High,Light,Same-day,Low,45.7,190.56,259.76,223.73,Snowy,None,2,In-stock,351.87,4.31,41.63,217
ORD148,5/16/2024 16:22,16:22,Medium,Light,Express,High,49.4,438.54,655.27,755.16,Rainy,Sports Event,4,Out of Stock,740.12,15.66,82.04,145
ORD149,9/20/2024 6:55,6:55,High,Light,Express,Low,32.57,241.33,267.54,219.19,Stormy,Sports Event,3,Low Stock,404.57,9.64,39.93,89
ORD150,9/29/2024 14:11,14:11,High,Light,Standard,Low,22.63,476.71,679.4,689.31,Snowy,Sports Event,5,In-stock,811.63,15.99,37.61,10
ORD151,6/24/2024 23:53,23:53,High,Moderate,Same-day,High,29.97,372.3,471.9,426.17,Snowy,None,4,Out of Stock,556.56,16.25,21.63,209
ORD152,1/4/2024 7:46,7:46,Medium,Moderate,Express,High,35.69,14.21,16.99,14.09,Stormy,Sports Event,2,In-stock,42.09,0.48,21.87,36
ORD153,5/30/2024 2:35,2:35,High,Moderate,Standard,Medium,41.91,91.96,126.87,135.25,Rainy,Holiday,2,In-stock,186.2,2.62,21.44,102
ORD154,5/21/2024 9:20,9:20,Medium,Light,Express,Low,16.11,224.23,290.71,342.89,Snowy,None,2,Out of Stock,285.12,7.75,19.17,358
ORD155,3/15/2024 7:23,7:23,Medium,Heavy,Same-day,High,36.59,168.71,214.29,239.98,Clear,Sports Event,3,Out of Stock,317.17,6.87,57.13,255
ORD156,2/20/2024 11:42,11:42,High,Light,Standard,Low,32.93,327.51,421.85,382.11,Rainy,Sports Event,0,Out of Stock,638.36,13.15,53.3,311
ORD157,11/28/2024 0:28,0:28,Low,Heavy,Express,Low,24.53,228.68,309.33,324.07,Rainy,Holiday,2,Out of Stock,325.33,10.5,34.8,174
ORD158,12/12/2024 18:43,18:43,Low,Moderate,Same-day,Low,16.66,383.72,428.5,454.06,Rainy,Sports Event,5,Low Stock,492.34,11.49,30.97,157
ORD159,4/6/2024 1:51,1:51,Low,Moderate,Same-day,Low,41.42,81.28,105.49,88.9,Snowy,None,4,In-stock,137.6,3.24,28.53,188
ORD160,2/3/2024 22:08,22:08,High,Moderate,Express,Low,48.35,171.52,204.1,188.23,Rainy,Sports Event,1,In-stock,362.4,4.85,44.19,82
ORD161,2/20/2024 17:50,17:50,Low,Moderate,Standard,Medium,47.48,24.35,27.7,30.14,Clear,Holiday,2,Low Stock,112.39,0.97,81.03,13
ORD162,6/14/2024 12:17,12:17,High,Light,Same-day,Medium,20.03,202.19,239.21,275.2,Snowy,Sports Event,2,Low Stock,415.16,10.06,29.51,171
ORD163,11/16/2024 19:53,19:53,Medium,Heavy,Same-day,High,6.88,424.15,500.86,528.26,Snowy,Holiday,5,Out of Stock,735.26,14.24,5.55,304
ORD164,1/28/2024 16:09,16:09,High,Moderate,Standard,High,24.15,379.68,555.25,549.56,Stormy,Sports Event,2,Out of Stock,777.35,13.97,43.83,124
ORD165,12/7/2024 12:41,12:41,Medium,Light,Standard,Medium,3.64,112.89,132.28,127.51,Snowy,Holiday,3,Low Stock,134.51,4.01,7.05,105
ORD166,7/27/2024 22:00,22:00,Medium,Heavy,Same-day,Low,8.69,90.73,130.12,136.31,Snowy,Holiday,5,In-stock,133.37,4.05,5.21,117
ORD167,9/16/2024 6:04,6:04,Medium,Light,Same-day,Medium,13.59,416.55,597.54,614.85,Rainy,Sports Event,3,Low Stock,578.37,17.49,11,219
ORD168,8/19/2024 15:56,15:56,Medium,Heavy,Same-day,High,42.73,312.51,365,305.79,Snowy,Holiday,0,Out of Stock,519.48,8.28,30.27,5
