Order_ID,Date_Time,Time_of_Order,Demand_Level,Traffic_Congestion,Urgency_Level,Driver_Availability,Distance_km,Base_Price,MRP_Price,Competitor_Price,Weather_Impact,Special_Event,Customer_Loyalty,Stock_Availability,Final_Price,Handling_Charges,Delivery_Charges
10018,2025-02-27 17:19:54.984603,Afternoon,High,Moderate,Standard,High,1.08,21.29,23.89,23.25,Clear,Holiday,High,High,19.75,5.46,13.4
10019,2025-03-01 06:07:15.984603,Morning,Low,Light,Standard,Low,1.08,5.87,9.69,4.15,Clear,None,Low,High,5.46,4.33,17.87
10020,2025-03-01 00:06:55.984603,Night,Low,Heavy,Urgent,High,1.08,25.91,28.04,28.08,Clear,None,High,Medium,27.08,6.89,15.0
10021,2025-02-28 15:56:58.984603,Afternoon,Low,Heavy,Urgent,High,1.08,34.7,37.010000000000005,37.27,Stormy,None,Medium,Low,38.17,3.12,11.53
10022,2025-03-02 13:08:08.984603,Afternoon,High,Moderate,Flexible,Medium,1.08,28.03,36.02,24.41,Clear,Holiday,Medium,High,27.37,4.34,19.3
10023,2025-03-03 09:49:08.984603,Morning,Medium,Light,Standard,Medium,1.08,43.94,45.51,44.72,Clear,Festival,Medium,High,40.86,4.93,15.79
10024,2025-03-01 12:30:34.984603,Afternoon,High,Light,Standard,High,1.08,27.23,32.18,30.31,Clear,Holiday,Medium,Medium,28.59,5.65,18.95
10025,2025-03-04 03:41:11.984603,Night,High,Moderate,Urgent,High,1.08,25.81,30.45,21.31,Stormy,Holiday,High,Medium,25.75,8.28,12.91
10026,2025-03-04 07:33:45.984603,Morning,Medium,Moderate,Standard,High,1.08,18.94,28.58,19.02,Stormy,Holiday,Medium,High,17.61,3.6,8.88
10027,2025-02-28 08:09:29.984603,Morning,Medium,Light,Flexible,High,1.08,42.69,47.88,46.09,Rainy,Holiday,Medium,Medium,42.69,6.11,5.79
10028,2025-03-02 23:28:40.984603,Night,Medium,Moderate,Standard,High,1.08,45.66,48.11,50.19,Clear,None,Low,Medium,45.66,6.74,15.89
10029,2025-02-28 06:09:02.984603,Morning,Medium,Light,Flexible,Medium,1.08,49.01,50.81,50.57,Clear,None,Low,High,45.58,2.37,6.82
10030,2025-03-04 15:01:14.984603,Afternoon,Medium,Moderate,Flexible,Low,1.08,49.15,56.74,47.43,Clear,Holiday,High,Medium,46.69,6.86,9.54
10031,2025-03-03 18:16:45.984603,Night,Medium,Moderate,Standard,Low,1.08,49.12,51.45,50.17,Rainy,None,Medium,High,45.68,3.36,12.99
10032,2025-02-27 06:52:44.984603,Morning,High,Light,Urgent,Medium,1.08,37.04,46.48,32.31,Clear,Holiday,Medium,High,36.17,2.52,13.47
10033,2025-02-28 00:43:40.984603,Night,High,Moderate,Flexible,Medium,1.08,30.32,36.35,29.88,Snowy,Concert,Medium,High,29.61,9.59,14.01
10034,2025-02-27 12:08:13.984603,Afternoon,Medium,Light,Standard,Medium,1.08,12.76,17.38,15.03,Snowy,None,Medium,Medium,12.76,9.73,7.49
10035,2025-03-05 08:59:22.984603,Morning,Medium,Light,Standard,Medium,1.08,39.52,46.68000000000001,34.88,Clear,Festival,Low,High,36.75,8.47,10.7
10036,2025-03-02 05:14:29.984603,Morning,Medium,Heavy,Urgent,Medium,1.08,38.07,40.86,39.1,Clear,None,Low,Medium,41.88,4.44,14.26
10037,2025-03-02 07:59:46.984603,Morning,Low,Light,Standard,Medium,1.08,42.91,47.35,43.79,Clear,None,Medium,Medium,42.91,2.78,19.55
10038,2025-03-04 23:01:18.984603,Night,Low,Light,Flexible,Medium,1.08,25.81,27.11,22.71,Clear,None,Medium,Medium,25.81,7.47,15.91
10039,2025-03-01 16:36:17.984603,Afternoon,Medium,Light,Flexible,Medium,1.08,45.16,54.06,45.85,Rainy,Festival,Medium,Medium,45.16,5.52,18.84
10040,2025-03-02 08:37:55.984603,Morning,Medium,Light,Standard,Low,1.08,37.34,42.17,36.43000000000001,Stormy,Festival,Medium,Medium,37.34,2.98,16.43
10041,2025-03-04 15:20:17.984603,Afternoon,Low,Light,Flexible,High,1.08,12.7,20.53,12.489999999999998,Clear,None,Medium,High,11.81,5.96,13.88
10042,2025-03-05 01:48:53.984603,Night,High,Light,Flexible,Medium,1.08,14.31,23.56,12.56,Stormy,None,High,High,13.28,2.28,7.88
10043,2025-03-04 04:35:31.984603,Night,Low,Moderate,Standard,High,1.08,41.64,48.52,44.74,Rainy,None,Low,High,38.73,9.27,15.0
10044,2025-03-01 11:57:59.984603,Morning,Low,Light,Standard,Medium,1.08,24.16,28.54,22.82,Snowy,None,Low,High,22.47,4.07,14.35
10045,2025-03-04 00:04:53.984603,Night,Medium,Moderate,Standard,Low,1.08,16.21,22.79,19.12,Rainy,None,High,Medium,15.4,7.3,14.04
10046,2025-03-02 13:41:36.984603,Afternoon,Low,Light,Flexible,Low,1.08,24.02,28.26,19.79,Stormy,Holiday,Medium,Medium,24.02,4.49,12.35
10047,2025-03-01 15:52:55.984603,Afternoon,Low,Light,Standard,Low,1.08,12.26,18.37,10.05,Clear,Concert,Medium,Medium,12.26,6.16,12.93
10048,2025-03-01 07:16:10.984603,Morning,Medium,Light,Standard,Low,1.08,45.13,50.02,44.16,Stormy,Holiday,Low,Low,45.13,6.37,10.02
10049,2025-03-01 07:11:08.984603,Morning,Medium,Heavy,Flexible,Low,1.08,8.22,10.57,7.27,Clear,None,High,Medium,8.59,3.48,12.79
10050,2025-02-28 21:34:40.984603,Night,Medium,Moderate,Standard,High,1.08,20.9,28.92,20.31,Rainy,None,Medium,Medium,20.9,9.76,7.96
10051,2025-03-03 08:29:12.984603,Morning,Medium,Moderate,Flexible,High,1.08,30.06,35.53,31.58,Clear,Concert,Medium,Medium,30.06,8.2,17.08
10052,2025-02-27 07:33:07.984603,Morning,Medium,Light,Urgent,High,1.08,44.31,47.02,45.05,Clear,Holiday,High,Medium,42.09,9.52,7.79
10053,2025-03-01 10:37:14.984603,Morning,Low,Heavy,Standard,High,1.08,40.17,49.2,40.38,Clear,None,Medium,Medium,44.19,9.16,6.27
10054,2025-03-05 03:44:42.984603,Night,High,Light,Standard,Medium,1.08,6.01,14.69,9.39,Clear,None,Medium,Medium,6.31,6.78,11.54
10055,2025-03-01 11:52:27.984603,Morning,Low,Light,Flexible,Medium,1.08,42.14,48.17,39.1,Clear,Holiday,Medium,Medium,42.14,9.37,14.87
10056,2025-02-27 18:12:49.984603,Night,High,Moderate,Flexible,Low,1.08,33.72,43.45,37.32,Snowy,None,Medium,Medium,35.41,2.71,11.57
10057,2025-03-05 12:30:04.984603,Afternoon,Medium,Light,Standard,Low,1.08,11.0,20.34,14.11,Clear,Holiday,Medium,Low,11.0,3.57,9.15
10058,2025-03-03 20:29:36.984603,Night,High,Heavy,Standard,High,1.08,32.79,41.86,29.75,Stormy,None,Medium,Medium,37.87,2.36,13.37
10059,2025-03-03 20:20:12.984603,Night,Low,Light,Flexible,High,1.08,41.81,44.010000000000005,43.05,Clear,None,Low,Medium,41.81,4.6,10.21
10060,2025-02-28 22:28:20.984603,Night,Medium,Heavy,Flexible,High,1.08,32.1,35.75,29.33,Clear,Holiday,High,Medium,33.54,5.11,18.99
10061,2025-03-02 11:22:16.984603,Morning,Low,Moderate,Standard,High,1.08,49.96,54.65,54.39,Clear,None,Medium,Medium,49.96,4.17,18.84
10062,2025-03-02 04:09:38.984603,Night,Low,Moderate,Standard,Medium,1.08,27.82,36.31,27.75,Clear,None,Low,Medium,27.82,8.63,12.54
10063,2025-02-28 12:21:08.984603,Afternoon,Medium,Light,Flexible,Medium,1.08,35.29,44.13,32.33,Clear,None,Medium,Low,35.29,4.85,9.92
10064,2025-03-01 16:07:55.984603,Afternoon,Low,Light,Standard,Medium,1.08,8.17,15.93,9.53,Clear,Holiday,High,Medium,7.76,4.25,16.06
10065,2025-03-03 14:33:33.984603,Afternoon,Medium,Heavy,Standard,High,1.08,41.59,46.84,43.66,Clear,Holiday,Medium,Medium,45.75,6.34,5.55
10066,2025-02-28 20:48:42.984603,Night,Low,Light,Standard,High,1.08,33.08,35.54,34.129999999999995,Snowy,None,Low,High,30.76,3.13,12.12
10067,2025-02-28 19:16:48.984603,Night,Medium,Moderate,Standard,Medium,1.08,30.26,31.58,27.68,Clear,Concert,Low,Medium,30.26,8.42,10.04
10068,2025-03-05 00:33:12.984603,Night,Medium,Heavy,Standard,Low,1.08,36.9,44.19,39.25,Stormy,None,Low,Low,40.59,2.6,18.81
10069,2025-03-01 02:36:44.984603,Night,Medium,Light,Flexible,Medium,1.08,30.22,40.17,34.52,Snowy,None,Low,Medium,30.22,9.9,5.18
10070,2025-03-04 17:27:41.984603,Afternoon,Medium,Moderate,Flexible,Medium,1.08,39.49,43.6,44.010000000000005,Rainy,None,High,High,34.89,8.18,13.29
10071,2025-03-04 04:08:38.984603,Night,Medium,Moderate,Standard,High,1.08,31.26,37.38,33.050000000000004,Snowy,Holiday,Low,High,29.07,3.59,16.11
10072,2025-03-05 01:28:44.984603,Night,High,Light,Standard,Low,1.08,28.4,36.7,31.8,Clear,None,High,Low,28.33,2.04,12.28
10073,2025-03-02 14:49:30.984603,Afternoon,Medium,Light,Standard,Medium,1.08,11.08,13.76,15.87,Stormy,None,Low,High,10.3,8.52,6.28
10074,2025-03-01 13:43:19.984603,Afternoon,Medium,Moderate,Urgent,Medium,1.08,26.23,34.7,21.66,Clear,None,High,Medium,24.92,7.65,19.59
10075,2025-03-05 05:41:58.984603,Morning,High,Light,Urgent,High,1.08,29.22,35.85,28.99,Clear,None,Low,High,28.53,7.83,12.77
10076,2025-03-01 01:58:43.984603,Night,Medium,Moderate,Flexible,Medium,1.08,33.11,39.24,31.02,Rainy,Concert,Medium,Medium,33.11,8.17,14.21
10077,2025-02-26 19:04:46.984603,Night,Medium,Light,Urgent,Medium,1.08,25.52,33.38,25.27,Snowy,None,Low,Low,25.52,2.59,8.55
10078,2025-02-26 19:22:19.984603,Night,Medium,Heavy,Standard,Medium,1.08,11.6,14.77,15.77,Snowy,None,Medium,Medium,12.76,4.87,12.25
10079,2025-03-03 22:25:20.984603,Night,Medium,Light,Flexible,Low,1.08,11.77,18.3,16.6,Clear,None,Low,High,10.95,2.93,11.44
10080,2025-03-04 16:49:55.984603,Afternoon,Medium,Moderate,Urgent,Medium,1.08,37.44,40.6,41.49,Clear,None,Medium,High,34.82,8.9,6.12
10081,2025-03-02 13:33:10.984603,Afternoon,Low,Moderate,Urgent,High,1.08,34.77,37.39,31.74,Stormy,Holiday,Medium,Medium,34.77,6.99,6.59
10082,2025-03-01 16:49:28.984603,Afternoon,Low,Light,Urgent,High,1.08,16.68,23.29,19.71,Stormy,None,High,Low,15.85,4.65,17.56
10083,2025-03-03 12:42:34.984603,Afternoon,High,Light,Flexible,Medium,1.08,25.06,28.48,28.24,Clear,None,Low,Medium,26.31,2.51,8.6
10084,2025-03-04 12:07:07.984603,Afternoon,Low,Moderate,Flexible,Medium,1.08,18.81,26.24,19.6,Clear,Holiday,Low,High,17.49,4.49,7.92
10085,2025-03-01 06:20:23.984603,Morning,Medium,Heavy,Standard,High,1.08,13.15,18.78,15.3,Stormy,None,Low,Medium,14.47,4.6,12.57
10086,2025-03-05 00:49:31.984603,Night,Medium,Light,Standard,Medium,1.08,19.68,26.93,23.73,Stormy,Holiday,Medium,Medium,19.68,7.84,16.53
10087,2025-03-02 21:18:55.984603,Night,Medium,Moderate,Flexible,Low,1.08,16.82,25.84,21.76,Clear,Concert,Low,Low,16.82,7.1,5.93
10088,2025-02-27 02:13:43.984603,Night,Low,Light,Urgent,Medium,1.08,8.71,10.95,4.110000000000001,Stormy,None,Low,Low,8.71,9.1,13.65
10089,2025-03-02 00:45:57.984603,Night,Low,Light,Standard,Medium,1.08,27.7,29.3,25.27,Rainy,None,Medium,Medium,27.7,5.78,6.79
10090,2025-03-01 14:09:11.984603,Afternoon,High,Moderate,Standard,Medium,1.08,25.29,29.89,29.64,Snowy,None,Low,Medium,26.55,2.96,5.55
10091,2025-02-27 21:59:50.984603,Night,High,Heavy,Standard,High,1.08,37.16,44.61,35.45,Rainy,Concert,Medium,Medium,42.92,7.71,5.79
10092,2025-03-03 19:14:07.984603,Night,Medium,Light,Standard,High,1.08,32.91,41.89,28.969999999999995,Clear,Holiday,Low,Medium,32.91,8.09,17.51
10093,2025-02-28 01:46:46.984603,Night,Medium,Heavy,Flexible,Low,1.08,20.45,21.76,18.58,Stormy,None,Medium,Low,22.5,6.49,6.77
10094,2025-02-28 02:29:29.984603,Night,Medium,Light,Urgent,High,1.08,27.33,35.47,27.51,Clear,None,High,High,24.15,8.17,5.68
10095,2025-03-04 02:09:53.984603,Night,Medium,Moderate,Standard,Medium,1.08,29.12,30.8,27.98,Snowy,Holiday,Low,Low,29.12,5.95,11.57
10096,2025-03-02 00:24:47.984603,Night,Medium,Moderate,Flexible,Medium,1.08,46.29,52.52,49.17,Rainy,None,Low,High,43.05,6.18,17.66
10097,2025-02-26 16:30:25.984603,Afternoon,Low,Moderate,Urgent,Medium,1.08,49.18,53.28,50.29,Snowy,None,High,Medium,46.72,5.42,8.94
10098,2025-03-05 07:26:25.984603,Morning,Medium,Moderate,Urgent,Medium,1.08,41.7,42.86,41.05,Clear,None,Medium,Medium,41.7,2.2,11.33
10099,2025-02-28 00:32:31.984603,Night,Medium,Light,Urgent,High,1.08,30.29,32.16,35.26,Rainy,Holiday,Medium,High,28.17,2.86,5.6
10100,2025-02-26 16:08:25.984603,Afternoon,High,Moderate,Urgent,High,1.08,46.76,50.94,50.62,Stormy,None,Medium,Medium,49.1,2.25,11.74
10101,2025-03-02 00:10:43.984603,Night,Low,Moderate,Standard,High,1.08,13.02,22.6,16.64,Stormy,None,Low,Medium,13.02,7.09,13.66
10102,2025-02-28 02:01:12.984603,Night,Medium,Light,Urgent,Medium,1.08,36.34,38.73,37.010000000000005,Clear,Concert,High,Low,34.52,4.51,13.56
10103,2025-03-01 20:53:57.984603,Night,Medium,Heavy,Flexible,Medium,1.08,25.72,29.17,28.52,Clear,None,Medium,High,26.31,6.07,9.99
10104,2025-03-01 19:44:05.984603,Night,Medium,Light,Standard,Medium,1.08,11.51,21.46,9.87,Rainy,None,Medium,Medium,11.51,9.26,9.73
10105,2025-02-26 21:06:14.984603,Night,Low,Moderate,Standard,High,1.08,8.38,13.71,6.680000000000001,Clear,Holiday,High,Medium,7.96,3.99,6.6
10106,2025-03-02 20:59:12.984603,Night,Medium,Light,Flexible,Medium,1.08,26.63,29.99,30.55,Stormy,None,Medium,Low,26.63,5.28,10.5
10107,2025-03-02 14:11:58.984603,Afternoon,Medium,Light,Standard,Low,1.08,15.75,22.29,16.72,Clear,Holiday,Medium,High,14.65,8.04,6.49
10108,2025-03-05 11:45:00.984603,Morning,Medium,Light,Standard,Medium,1.08,16.27,21.19,14.71,Stormy,None,High,Low,15.46,3.83,16.5
10109,2025-03-04 04:36:49.984603,Night,Medium,Moderate,Standard,Medium,1.08,19.41,28.130000000000003,22.86,Clear,None,Low,Medium,19.41,2.62,19.49
10110,2025-03-03 19:26:30.984603,Night,Medium,Moderate,Flexible,High,1.08,37.33,38.4,36.76,Clear,None,Low,Medium,37.33,4.32,19.55
10111,2025-03-01 16:29:08.984603,Afternoon,Medium,Light,Urgent,High,1.08,12.38,22.35,11.38,Clear,Concert,Low,High,11.51,3.29,17.98
10112,2025-02-26 19:26:17.984603,Night,High,Light,Flexible,High,1.08,37.29,38.89,32.55,Rainy,Holiday,High,Medium,37.2,9.44,14.01
10113,2025-02-28 20:38:23.984603,Night,Medium,Light,Standard,High,1.08,40.22,46.05,42.01,Rainy,None,Medium,Medium,40.22,8.46,15.51
10114,2025-03-04 05:04:33.984603,Morning,Low,Moderate,Urgent,Medium,1.08,31.75,39.03,32.08,Rainy,None,Medium,Medium,31.75,7.07,9.28
10115,2025-02-28 03:17:01.984603,Night,Medium,Moderate,Standard,Medium,1.08,16.14,22.09,14.260000000000002,Stormy,None,Low,Medium,16.14,8.97,14.46
10116,2025-03-03 23:52:44.984603,Night,Low,Light,Standard,Medium,1.08,7.32,11.03,3.71,Clear,Festival,Low,High,6.81,8.43,11.83
10117,2025-02-28 08:36:17.984603,Morning,Medium,Light,Flexible,High,1.08,23.36,32.06,20.18,Snowy,Festival,Low,High,21.72,3.49,12.23
10118,2025-02-28 15:45:03.984603,Afternoon,Low,Moderate,Standard,Low,1.08,43.14,48.01,40.39,Snowy,None,High,Low,40.98,9.14,16.37
10119,2025-03-01 00:04:19.984603,Night,Low,Light,Urgent,Low,1.08,9.58,13.29,13.23,Clear,None,Medium,Medium,9.58,6.31,9.23
10120,2025-02-27 21:43:35.984603,Night,High,Light,Urgent,Low,1.08,38.52,46.440000000000005,38.330000000000005,Stormy,None,High,High,35.73,8.46,9.77
10121,2025-03-01 01:12:45.984603,Night,Low,Light,Standard,Medium,1.08,26.06,28.37,28.01,Rainy,Festival,Medium,Medium,26.06,9.17,18.87
10122,2025-03-01 01:26:48.984603,Night,Medium,Moderate,Flexible,Low,1.08,45.45,48.3,45.06,Rainy,None,Medium,Medium,45.45,4.54,5.84
10123,2025-02-27 22:37:28.984603,Night,Low,Moderate,Flexible,Medium,1.08,21.03,24.3,20.77,Rainy,None,Medium,Low,21.03,2.88,12.28
10124,2025-03-04 20:45:46.984603,Night,Medium,Moderate,Flexible,High,1.08,36.71,41.620000000000005,39.93,Stormy,None,High,Low,34.87,3.82,18.69
10125,2025-03-01 11:04:17.984603,Morning,Medium,Light,Standard,Medium,1.08,38.31,39.49,41.02,Snowy,None,High,Medium,36.39,5.42,14.16
10126,2025-02-27 02:30:54.984603,Night,Medium,Moderate,Flexible,Medium,1.08,13.94,23.87,11.26,Rainy,None,High,Medium,13.24,8.54,13.2
10127,2025-02-27 22:32:15.984603,Night,Medium,Light,Flexible,High,1.08,12.12,18.52,13.38,Clear,None,Medium,High,11.27,8.89,8.75
10128,2025-02-28 16:06:19.984603,Afternoon,Low,Heavy,Standard,Medium,1.08,9.17,18.91,10.97,Rainy,None,Low,High,9.38,2.06,10.15
10129,2025-02-27 19:22:06.984603,Night,Medium,Moderate,Standard,Medium,1.08,36.57,44.84,35.62,Clear,None,Medium,Low,36.57,6.09,17.78
10130,2025-03-03 06:53:16.984603,Morning,Low,Moderate,Standard,Medium,1.08,29.67,31.880000000000003,25.35,Rainy,None,Low,High,27.59,5.34,13.39
10131,2025-02-27 18:01:57.984603,Night,Medium,Light,Urgent,Medium,1.08,8.9,11.78,7.61,Stormy,None,Low,High,8.28,3.78,12.72
10132,2025-02-28 19:42:05.984603,Night,Medium,Light,Standard,Low,1.08,18.88,20.19,17.46,Clear,Concert,Low,Medium,18.88,2.96,6.49
10133,2025-02-28 10:25:38.984603,Morning,High,Moderate,Standard,Medium,1.08,11.41,19.91,13.32,Clear,Holiday,Medium,Medium,11.98,4.7,5.24
10134,2025-03-02 06:50:06.984603,Morning,Low,Moderate,Standard,High,1.08,9.17,15.51,12.27,Rainy,Holiday,Medium,Medium,9.17,9.54,19.46
10135,2025-03-02 22:10:28.984603,Night,Medium,Light,Standard,Medium,1.08,18.44,21.380000000000003,17.400000000000002,Clear,None,Medium,Medium,18.44,4.59,10.65
10136,2025-03-03 08:02:34.984603,Morning,Low,Heavy,Flexible,Medium,1.08,9.33,19.06,10.79,Clear,Holiday,Medium,Medium,10.26,6.15,14.05
10137,2025-02-27 00:43:44.984603,Night,Medium,Heavy,Flexible,Medium,1.08,16.71,24.34,18.14,Rainy,None,Low,Medium,18.38,7.62,6.2
10138,2025-03-02 19:46:48.984603,Night,Medium,Moderate,Flexible,High,1.08,29.87,37.22,31.35,Snowy,None,Medium,Medium,29.87,4.91,15.25
10139,2025-02-27 06:24:43.984603,Morning,High,Heavy,Standard,High,1.08,30.24,33.64,30.78,Stormy,None,Medium,Medium,34.93,9.77,18.99
10140,2025-03-03 15:28:55.984603,Afternoon,Low,Light,Urgent,Medium,1.08,12.56,16.38,13.85,Clear,None,Low,Medium,12.56,9.7,13.63
10141,2025-02-27 19:03:15.984603,Night,Low,Light,Urgent,Medium,1.08,13.6,20.61,17.28,Rainy,None,Medium,High,12.65,4.01,6.89
10142,2025-03-04 15:00:20.984603,Afternoon,Medium,Light,Flexible,High,1.08,43.47,49.81,47.69,Clear,None,Medium,Low,43.47,5.98,13.73
10143,2025-02-28 20:14:34.984603,Night,Low,Moderate,Urgent,Medium,1.08,12.51,19.34,8.43,Stormy,None,Medium,Medium,12.51,4.41,16.5
10144,2025-02-26 19:49:38.984603,Night,Low,Light,Standard,Low,1.08,7.06,15.97,2.18,Rainy,None,Medium,High,6.57,4.28,11.1
10145,2025-02-28 07:05:45.984603,Morning,Medium,Heavy,Urgent,Medium,1.08,16.02,18.46,16.21,Snowy,Holiday,Medium,Medium,17.62,2.3,18.2
10146,2025-03-04 19:16:14.984603,Night,Low,Light,Flexible,Medium,1.08,30.94,32.99,30.07,Snowy,None,Low,High,28.77,6.88,14.73
10147,2025-03-01 20:41:28.984603,Night,Low,Light,Flexible,Medium,1.08,5.33,11.41,4.84,Clear,Concert,Medium,Medium,5.33,6.02,18.49
10148,2025-02-27 09:40:05.984603,Morning,Medium,Heavy,Standard,Medium,1.08,49.32,54.82,48.91,Snowy,None,Medium,Medium,54.25,2.41,14.35
10149,2025-03-03 06:12:42.984603,Morning,Medium,Light,Urgent,Low,1.08,15.37,20.0,19.32,Snowy,None,Low,High,14.29,4.23,6.97
10150,2025-03-03 07:57:11.984603,Morning,Low,Light,Flexible,Medium,1.08,15.72,24.86,17.09,Rainy,Festival,Medium,Low,15.72,9.27,9.65
10151,2025-03-05 02:33:09.984603,Night,Low,Moderate,Flexible,Medium,1.08,38.24,44.27,37.66,Clear,None,Medium,High,35.56,3.92,8.03
10152,2025-03-03 00:11:40.984603,Night,Medium,Light,Urgent,Low,1.08,16.17,22.28,15.720000000000002,Stormy,Holiday,Low,Medium,16.17,3.16,18.63
10153,2025-03-03 18:53:48.984603,Night,Low,Light,Urgent,High,1.08,22.83,27.13,26.28,Clear,None,Medium,Medium,22.83,5.92,16.41
10154,2025-02-28 02:54:47.984603,Night,Medium,Light,Flexible,Medium,1.08,29.48,33.58,26.65,Rainy,None,Medium,Low,29.48,9.89,15.15
10155,2025-02-28 00:09:47.984603,Night,Low,Moderate,Standard,Low,1.08,5.98,15.87,1.1300000000000008,Clear,None,Low,High,5.56,3.94,9.51
10156,2025-03-05 05:32:23.984603,Morning,Medium,Heavy,Standard,Medium,1.08,42.68,49.29,42.46,Rainy,Concert,Medium,High,43.66,7.38,7.76
10157,2025-03-03 04:28:49.984603,Night,Medium,Heavy,Standard,Medium,1.08,28.04,36.47,32.64,Snowy,None,Medium,Low,30.84,8.09,16.35
10158,2025-03-04 07:14:45.984603,Morning,Medium,Light,Standard,Medium,1.08,19.08,24.11,22.22,Clear,None,Low,Medium,19.08,3.9,12.11
10159,2025-03-03 17:58:28.984603,Afternoon,High,Light,Standard,Low,1.08,22.99,25.72,22.07,Stormy,Holiday,High,High,21.33,7.83,8.39
10160,2025-02-26 18:43:18.984603,Night,Medium,Moderate,Standard,Medium,1.08,7.51,11.43,4.26,Clear,None,High,Medium,7.13,4.94,14.25
10161,2025-03-01 04:06:55.984603,Night,Low,Heavy,Standard,Medium,1.08,37.31,41.43,38.010000000000005,Stormy,Concert,High,High,36.26,7.06,5.61
10162,2025-03-04 18:01:12.984603,Night,Low,Light,Standard,High,1.08,29.28,35.36,33.08,Rainy,None,Medium,Low,29.28,7.07,9.89
10163,2025-02-28 10:41:17.984603,Morning,Medium,Light,Standard,High,1.08,46.13,48.52,48.3,Clear,Holiday,High,Medium,43.82,6.29,12.03
10164,2025-03-02 09:51:53.984603,Morning,Low,Moderate,Standard,High,1.08,25.89,30.37,26.29,Rainy,None,High,Medium,24.6,2.72,7.22
10165,2025-02-27 05:35:26.984603,Morning,Low,Heavy,Standard,Low,1.08,42.28,44.19,44.63,Stormy,None,High,High,41.09,8.68,19.77
10166,2025-03-05 09:22:47.984603,Morning,Medium,Light,Flexible,Low,1.08,13.47,18.94,18.12,Clear,Holiday,High,High,11.9,4.57,8.14
10167,2025-02-27 21:31:30.984603,Night,Medium,Light,Standard,High,1.08,7.54,17.07,8.07,Stormy,None,Medium,High,7.01,3.49,6.96
10168,2025-03-03 16:57:19.984603,Afternoon,Medium,Light,Standard,Medium,1.08,47.68,51.73,48.23,Rainy,None,Low,Medium,47.68,2.33,8.05
10169,2025-03-03 14:47:11.984603,Afternoon,Medium,Light,Standard,High,1.08,16.56,18.009999999999998,16.349999999999998,Clear,Festival,Low,High,15.4,6.73,16.54
